product_id,product_name,category,unit_cost
PROD001,Mindful Journey,Books,84.19
PROD002,SmartHub Controller,Electronics,262.31
PROD003,Comfort Plus Pillow,Home Goods,22.18
PROD004,Memory Foam Mat,Home Goods,101.9
PROD005,Crimson Dawn,Books,206.39
PROD006,Leather Crossbody Bag,Clothing,77.04
PROD007,Velvet Touch Blanket,Home Goods,354.84
PROD008,Ocean's Wisdom,Books,470.86
PROD009,Waterproof Rain Jacket,Clothing,445.59
PROD010,The Art of Living,Books,153.16
PROD011,SoundWave Headphones,Electronics,255.76
PROD012,Marble Serving Tray,Home Goods,204.55
PROD013,Canvas Sneakers,Clothing,259.3
PROD014,Silk Blend Scarf,Clothing,252.85
PROD015,UltraView Monitor,Electronics,0.0
PROD016,Cashmere Sweater,Clothing,365.46
PROD017,Artisan Coffee Mug,Home Goods,352.84
PROD018,Premium Storage Bin,Home Goods,35.62
PROD019,Woven Storage Basket,Home Goods,221.77
PROD020,Classic Denim Jacket,Clothing,370.64
PROD021,QuantumCore Router,Electronics,456.24
PROD022,ProConnect Adapter,Electronics,14.39
PROD023,Decorative Wall Mirror,Home Goods,262.13
PROD024,Cotton Polo Shirt,Clothing,459.05
PROD025,Comfort Fit Jeans,Clothing,299.43
PROD026,Performance Athletic Shorts,Clothing,174.79
PROD027,The Last Garden,Books,419.54
PROD028,Designer Throw Pillow,Home Goods,189.9
PROD029,Starlight Memories,Books,300.64
PROD030,StreamBox Media Player,Electronics,380.57
PROD031,Urban Legends,Books,196.9
PROD032,Wool Winter Coat,Clothing,378.15
PROD033,Soft Touch Curtains,Home Goods,92.17
PROD034,Stainless Steel Kettle,Home Goods,140.71
PROD035,TechPro Keyboard,Electronics,317.84
PROD036,VisionCam 4K,Electronics,266.56
PROD037,Knit Beanie Hat,Clothing,358.11
PROD038,Premium Cotton Tee,Clothing,190.86
PROD039,Twilight Symphony,Books,222.25
PROD040,Formal Business Shirt,Clothing,365.25
PROD041,Striped Midi Skirt,Clothing,334.27
PROD042,The Hidden Path,Books,106.12
PROD043,The Creative Spark,Books,241.78
PROD044,EcoBlend Towel Set,Home Goods,411.37
PROD045,LED Night Light,Home Goods,336.87
